,road_id,road_name,common_road_name,cway,speed_limit,network_type
58130,1091191,Bellevue Rd,Bellevue Rd,S,110km/h or 50km/h built up areas,Local Road
58137,1040040,Astley St,Astley St,S,110km/h or 50km/h built up areas,Local Road
58147,1253053,Lena St (Sth),Lena St (Sth),S,110km/h or 50km/h built up areas,Local Road
58160,1030566,Goldsmith Rd,Goldsmith Rd,S,110km/h or 50km/h built up areas,Local Road
58167,1311061,Landsborough Wy,Landsborough Wy,S,110km/h or 50km/h built up areas,Local Road
58207,1070941,Penang Loop,Penang Loop,S,110km/h or 50km/h built up areas,Local Road
58214,1106595,Altrincham Gr,Altrincham Gr,S,110km/h or 50km/h built up areas,Local Road
58215,1061060,Owen Rd,Owen Rd,S,110km/h or 50km/h built up areas,Local Road
58234,1260251,Canning Pde,Canning Pde,S,110km/h or 50km/h built up areas,Local Road
58240,4310104,Gamble St,Gamble St,S,50km/h,Local Road
58250,1020189,Hope Cr,Hope Cr,S,110km/h or 50km/h built up areas,Local Road
58259,1190932,Hillock Cir,Hillock Cir,S,110km/h or 50km/h built up areas,Local Road
58291,6052013,White St,White St,S,50km/h,Local Road
58293,1050060,Sawyer Rd,Sawyer Rd,S,110km/h or 50km/h built up areas,Local Road
58301,1311471,Colac Wy,Colac Wy,S,110km/h or 50km/h built up areas,Local Road
58305,3021105,Pioneer Rd,Pioneer Rd,S,50km/h,Local Road
58322,1091679,Campolino Gdns,Campolino Gdns,S,110km/h or 50km/h built up areas,Local Road
58328,3180087,Meechi Rd,Meechi Rd,S,110km/h or 50km/h built up areas,Local Road
58329,6080049,Rochester St,Rochester St,S,50km/h,Local Road
58335,1093659,Huxley Dr,Huxley Dr,S,110km/h or 50km/h built up areas,Local Road
58340,6051005,Varden St,Varden St,S,50km/h,Local Road
58347,1104755,Langford Bvd,Langford Bvd,S,110km/h or 50km/h built up areas,Local Road
58348,1063023,Alice Rd,Alice Rd,S,80km/h,Local Road
58352,1180117,Holdsworth St,Holdsworth St,S,40km/h,Local Road
58353,1120117,White St,White St,S,110km/h or 50km/h built up areas,Local Road
58355,8140038,Miller Cl,Miller Cl,S,50km/h,Local Road
58363,1190650,Cotton Cr,Cotton Cr,S,110km/h or 50km/h built up areas,Local Road
58401,3020640,Elizabeth St,Elizabeth St,S,110km/h or 50km/h built up areas,Local Road
58413,1170023,Fortescue St,Fortescue St,S,110km/h or 50km/h built up areas,Local Road
58420,1106279,Achamore St,Achamore St,S,110km/h or 50km/h built up areas,Local Road
58424,1050161,Burlington St,Burlington St,S,110km/h or 50km/h built up areas,Local Road
58425,1140594,Cosmos St,Cosmos St,S,110km/h or 50km/h built up areas,Local Road
58432,1230011,Venn St,Venn St,S,110km/h or 50km/h built up areas,Local Road
58450,1120273,Paterson St,Paterson St,S,110km/h or 50km/h built up areas,Local Road
58459,2050236,Simon St,Simon St,S,110km/h or 50km/h built up areas,Local Road
58461,5030259,Huggett Dr,Huggett Dr,S,50km/h,Local Road
58464,6052042,Mile St,Mile St,S,50km/h,Local Road
58468,1310336,Oxley Av,Oxley Av,S,110km/h or 50km/h built up areas,Local Road
58469,6055019,Outram St,Outram St,S,50km/h,Local Road
58470,1311504,Creaney Dr,Creaney Dr,S,110km/h or 50km/h built up areas,Local Road
58513,H657,Mitchell Fwy (Southbound) off to Ocean Reef Rd,Mitchell Fwy (Southbound) off to Ocean Reef Rd,S,100km/h,State Road
58527,2060411,Wake Dr,Wake Dr,S,110km/h or 50km/h built up areas,Local Road
58549,1041712,Salen L,Salen L,S,110km/h or 50km/h built up areas,Local Road
58551,5010061,Old Generation Rd,Old Generation Rd,S,110km/h or 50km/h built up areas,Local Road
58576,1109838,Splendid Av,Splendid Av,L,60km/h,Local Road
58580,1050390,Barker Rd,Barker Rd,S,70km/h,Local Road
58581,1030040,Wellard St,Wellard St,S,110km/h or 50km/h built up areas,Local Road
58588,1130574,St Columbans L,St Columbans L,S,110km/h or 50km/h built up areas,Local Road
58590,216Z102,Jalbarragup Rd,Jalbarragup Rd,S,110km/h,Local Road
58612,2120610,Rio Grande Av,Rio Grande Av,S,110km/h or 50km/h built up areas,Local Road
58618,1100845,Meldrum Wy,Meldrum Wy,S,110km/h or 50km/h built up areas,Local Road
58623,1103736,Delany Mews,Delany Mews,S,110km/h or 50km/h built up areas,Local Road
58628,1020814,Butcher Rd,Butcher Rd,S,110km/h or 50km/h built up areas,Local Road
58632,6080050,Gwalia St,Gwalia St,S,50km/h,Local Road
58637,1070493,Haselmere Crcs,Haselmere Crcs,S,110km/h or 50km/h built up areas,Local Road
58643,1191158,Keall Pass,Keall Pass,S,110km/h or 50km/h built up areas,Local Road
