,road_id,road_name,common_road_name,cway,speed_limit,network_type
0,1240038,William St,William St,S,40km/h,Local Road
1,1260096,Henning Cr,Henning Cr,S,110km/h or 50km/h built up areas,Local Road
2,1040027,Amherst Rd,Amherst Rd,S,60km/h,Local Road
3,H005,Great Eastern Hwy,Great Eastern Hwy,L,60km/h,State Road
4,H032,South St,South St,L,70km/h,Local Road
5,1313303,Grand Bvd,Grand Bvd,L,110km/h or 50km/h built up areas,Local Road
6,1180012,Elder Pl,Elder Pl,S,40km/h,Local Road
7,H012,Leach Hwy,Leach Hwy,L,60km/h,Local Road
8,8140653,Dampier Rd,Dampier Rd,L,70km/h,Local Road
9,1140265,Liege St,Liege St,S,110km/h or 50km/h built up areas,Local Road
11,H700,Kwinana Fwy (Northbound) off to Anketell Rd,Kwinana Fwy (Northbound) off to Anketell Rd,S,70km/h,Local Road
12,M059,Ravensthorpe Hopetoun,Hopetoun-Ravensthorpe Rd,S,110km/h,State Road
13,1250083,Woodrow Av,Woodrow Av,S,60km/h,Local Road
14,1070001,Patterson Rd,Patterson Rd,L,60km/h,Local Road
15,H069,Ocean Reef Upper Swan Hwy,Ocean Reef Rd,R,70km/h,State Road
16,H679,Tonkin Hwy (Northbound) off to McDowell St,Tonkin Hwy (Northbound) off to McDowell St,S,110km/h or 50km/h built up areas,State Road
18,2030010,Maranup Ford Rd,Maranup Ford Rd,S,110km/h or 50km/h built up areas,Local Road
19,1300280,Fitzgerald St,Fitzgerald St,S,40km/h,Local Road
21,H027,Rivervale Wattle Grove Link,Orrong Rd,L,70km/h,State Road
23,1300014,Eton St,Eton St,S,110km/h or 50km/h built up areas,Local Road
24,1141017,Nicholson Rd,Nicholson Rd,S,70km/h,Local Road
25,H026,Guildford Rd,East Pde,L,60km/h,State Road
27,1092106,Arbor Dr,Arbor Dr,S,110km/h or 50km/h built up areas,Local Road
29,1105434,Bethwyn Cct,Bethwyn Cct,S,110km/h or 50km/h built up areas,Local Road
30,1090838,Millhouse Rd,Millhouse Rd,L,110km/h or 50km/h built up areas,Local Road
31,H035,Wanneroo Rd,Charles St,L,60km/h,Local Road
32,1130310,Miller Av,Miller Av,S,110km/h or 50km/h built up areas,Local Road
33,H002,Melville Mandurah Hwy,Rockingham Rd,L,70km/h,State Road
34,1140011,Sevenoaks St,Sevenoaks St,S,60km/h,Local Road
35,1260001,Manning Rd,Manning Rd,L,110km/h or 50km/h built up areas,Local Road
36,1250069,Scarborough Beach Rd,Scarborough Beach Rd,L,60km/h,Local Road
37,1250067,Main St,Main St,S,60km/h,Local Road
38,1250052,Central Av,Central Av,L,60km/h,Local Road
40,H015,Kwinana Fwy,Kwinana Fwy,R,100km/h,State Road
41,H023,Armadale Rd,Armadale Rd,L,110km/h or 50km/h built up areas,Local Road
42,1180004,Carrington St,Carrington St,S,60km/h,Local Road
44,H007,North West Coastal Hwy,North West Coastal Hwy,S,60km/h,State Road
46,1050006,Sulphur Rd,Sulphur Rd,S,110km/h or 50km/h built up areas,Local Road
47,1010535,Jade St,Jade St,S,110km/h or 50km/h built up areas,Local Road
48,1100290,Crisafulli Av,Crisafulli Av,S,110km/h or 50km/h built up areas,Local Road
49,H014,Stirling Hwy,Stirling Hwy,L,60km/h,State Road
52,1091131,The Crescent,The Crescent,S,110km/h or 50km/h built up areas,Local Road
54,1040001,William St,William St,S,110km/h or 50km/h built up areas,Local Road
56,2080266,Cheviot Wy,Cheviot Wy,S,110km/h or 50km/h built up areas,Local Road
57,H016,Mitchell Fwy,Mitchell Fwy,R,100km/h,State Road
58,1280304,Railway Pde,Railway Pde,S,110km/h or 50km/h built up areas,Local Road
59,1240130,Bennett St,Bennett St,S,110km/h or 50km/h built up areas,Local Road
62,2120455,Luckhurst Dr,Luckhurst Dr,S,110km/h or 50km/h built up areas,Local Road
63,1250089,Cape St,Cape St,S,110km/h or 50km/h built up areas,Local Road
64,H028,Karrinyup Morley Hwy,Morley Dr,L,60km/h,Local Road
65,1290004,Hayman Rd,Hayman Rd,S,60km/h,Local Road
66,1260066,Dyson St,Dyson St,S,110km/h or 50km/h built up areas,Local Road
67,1140001,Manning Rd,Manning Rd,L,110km/h or 50km/h built up areas,Local Road
68,0010037,Frederick St,Frederick St,S,60km/h,Local Road
69,1091579,Great Northern Hwy,Great Northern Hwy,S,60km/h,Local Road
70,1250107,Williamstown Rd,Williamstown Rd,S,110km/h or 50km/h built up areas,Local Road
71,1313301,Reid Prom,Reid Prom,S,110km/h or 50km/h built up areas,Local Road
72,1220011,Victoria Av,Victoria Av,S,110km/h or 50km/h built up areas,Local Road
75,1290036,Creaton St,Creaton St,S,110km/h or 50km/h built up areas,Local Road
77,H029,Marmion Av,Marmion Av,L,70km/h,Local Road
78,1070002,Parkin St,Parkin St,S,60km/h,Local Road
79,1030010,North Lake Rd,North Lake Rd,S,70km/h,Local Road
80,H021,Reid Hwy,Reid Hwy,R,90km/h,State Road
82,1120655,Walter Rd East,Walter Rd East,S,60km/h,Local Road
83,1110003,Iolanthe St,Iolanthe St,S,110km/h or 50km/h built up areas,Local Road
84,1313717,Dwyer Turn,Dwyer Turn,S,110km/h or 50km/h built up areas,Local Road
85,1101267,Prindiville Dr,Prindiville Dr,S,110km/h or 50km/h built up areas,Local Road
86,2080248,Wellington Mill Rd,Wellington Mill Rd,S,110km/h or 50km/h built up areas,Local Road
87,H013,Canning Hwy,Canning Hwy,L,110km/h or 50km/h built up areas,Local Road
88,2121850,Shonae Pass,Shonae Pass,S,110km/h or 50km/h built up areas,Local Road
90,H017,Tonkin Hwy,Tonkin Hwy,L,100km/h,State Road
91,1110179,McDonald Cr,McDonald Cr,S,110km/h or 50km/h built up areas,Local Road
92,1020006,Hale Rd,Hale Rd,S,60km/h,Local Road
94,2040005,Blair St,Blair St,L,110km/h or 50km/h built up areas,Local Road
95,H020,Graham Farmer Fwy,Graham Farmer Fwy,L,80km/h,State Road
97,1101268,Hartman Dr,Hartman Dr,L,110km/h or 50km/h built up areas,Local Road
98,1290095,King George St North,King George St North,S,110km/h or 50km/h built up areas,Local Road
99,1105636,Rometta Wy,Rometta Wy,S,110km/h or 50km/h built up areas,Local Road
100,1250017,Walcott St,Walcott St,S,110km/h or 50km/h built up areas,Local Road
101,1030004,Winterfold Rd,Winterfold Rd,S,110km/h or 50km/h built up areas,Local Road
102,H044,Carnarvon Rd,Robinson St,S,70km/h,State Road
104,2040008,Ocean Dr,Ocean Dr,S,60km/h,Local Road
105,1150101,O Beirne St,O Beirne St,S,110km/h or 50km/h built up areas,Local Road
106,1100884,Conlan Av,Conlan Av,S,110km/h or 50km/h built up areas,Local Road
107,1190997,Farrington Rd,Farrington Rd,L,110km/h or 50km/h built up areas,Local Road
109,1260002,Labouchere Rd,Labouchere Rd,S,110km/h or 50km/h built up areas,Local Road
111,1091452,Badgingarra Gdns,Badgingarra Gdns,S,110km/h or 50km/h built up areas,Local Road
112,1070038,Council Av,Council Av,L,60km/h,Local Road
113,H031,Queen Victoria St,Queen Victoria St,S,110km/h or 50km/h built up areas,Local Road
114,H001,Albany Hwy,Albany Hwy,R,60km/h,State Road
116,1310239,Burns Beach Rd,Burns Beach Rd,L,70km/h,Local Road
119,1050183,Bertram Rd,Bertram Rd,S,80km/h,Local Road
120,1260050,Gwenyfred Rd,Gwenyfred Rd,S,110km/h or 50km/h built up areas,Local Road
122,H667,Lord St to East Pde,Lord St to East Pde,S,60km/h,State Road
123,H736,Nicholson Rd on to Roe Hwy (Eastbound),Nicholson Rd on to Roe Hwy (Eastbound),S,70km/h,State Road
124,1180184,Hulbert St,Hulbert St,S,40km/h,Local Road
127,5070286,Hoy Rd,Hoy Rd,S,50km/h,Local Road
128,1251033,Gildercliffe St,Gildercliffe St,S,110km/h or 50km/h built up areas,Local Road
129,8130342,North Circular Rd East,North Circular Rd East,S,80km/h,Local Road
130,1130014,Epsom Av,Epsom Av,S,110km/h or 50km/h built up areas,Local Road
132,1141104,Ranford Rd,Ranford Rd,L,110km/h or 50km/h built up areas,Local Road
133,1311580,Coombe Pl,Coombe Pl,S,110km/h or 50km/h built up areas,Local Road
134,1105437,Otunic Wy,Otunic Wy,S,110km/h or 50km/h built up areas,Local Road
135,1040011,Southern River Rd,Southern River Rd,L,60km/h,Local Road
137,1180055,Howard St,Howard St,S,40km/h,Local Road
138,H009,South Western Hwy,South Western Hwy,R,60km/h,State Road
139,1240006,Winthrop Av,Winthrop Av,L,110km/h or 50km/h built up areas,Local Road
141,1050306,Mandurah Rd,Mandurah Rd,S,70km/h,Local Road
142,1070005,Read St,Read St,L,70km/h,Local Road
143,1092306,Main St,Main St,S,110km/h or 50km/h built up areas,Local Road
144,H767,Roe Hwy (Westbound) off to Karel Av,Roe Hwy (Westbound) off to Karel Av,S,60km/h,State Road
145,1130010,Belmont Av,Belmont Av,S,60km/h,Local Road
147,1140086,Baldock St,Baldock St,S,110km/h or 50km/h built up areas,Local Road
150,1240007,Thomas St,Thomas St,L,70km/h,Local Road
151,1030013,Wattleup Rd,Wattleup Rd,S,70km/h,Local Road
152,1140048,Acanthus Rd,Acanthus Rd,S,110km/h or 50km/h built up areas,Local Road
153,1250077,Grand Prom,Grand Prom,L,60km/h,Local Road
154,1140585,Welshpool Rd,Welshpool Rd,L,110km/h or 50km/h built up areas,Local Road
156,H025,Cockburn Rd,Russell Rd (West),S,70km/h,Local Road
157,1090502,West Swan Rd,West Swan Rd,S,70km/h,Local Road
159,H036,West Coast Hwy,West Coast Hwy,L,70km/h,Local Road
162,H018,Roe Hwy,Roe Hwy,L,60km/h,Local Road
165,1290077,Kent St,Kent St,S,60km/h,Local Road
166,1290117,Oats St,Oats St,S,110km/h or 50km/h built up areas,Local Road
169,1240176,Aberdeen St,Aberdeen St,S,40km/h,Local Road
171,1140427,Willeri Dr,Willeri Dr,L,60km/h,Local Road
172,H400,Point Lewis Rty,Point Lewis Rty,S,60km/h,State Road
175,H590,Hepburn Av on to Mitchell Fwy (Southbound),Hepburn Av on to Mitchell Fwy (Southbound),S,70km/h,State Road
177,129Z016,Park Rd,Park Rd,S,60km/h,Local Road
178,1010863,Rails Cr,Rails Cr,S,110km/h or 50km/h built up areas,Local Road
179,1090570,Benara Rd,Benara Rd,S,60km/h,Local Road
180,1101403,Marangaroo Dr,Marangaroo Dr,L,110km/h or 50km/h built up areas,Local Road
181,1251089,King George St,King George St,S,110km/h or 50km/h built up areas,Local Road
182,1252130,West Coast Dr,West Coast Dr,S,110km/h or 50km/h built up areas,Local Road
187,1250145,Milverton Av,Milverton Av,S,110km/h or 50km/h built up areas,Local Road
189,1210005,McCabe St,McCabe St,S,110km/h or 50km/h built up areas,Local Road
191,1040274,Lachlan Rd,Lachlan Rd,S,110km/h or 50km/h built up areas,Local Road
192,H763,Tonkin Hwy (Northbound) off to Corfield St,Tonkin Hwy (Northbound) off to Corfield St,S,70km/h,State Road
193,8140043,Millstream Rd,Millstream Rd,L,70km/h,Local Road
194,1240059,Roe St,Roe St,S,110km/h or 50km/h built up areas,State Road
195,1190027,Kintail Rd,Kintail Rd,S,110km/h or 50km/h built up areas,Local Road
196,1240047,Lord St,Lord St,S,110km/h or 50km/h built up areas,Local Road
197,1252010,Farrier Rd,Farrier Rd,S,110km/h or 50km/h built up areas,Local Road
199,H564,Mitchell Fwy (Northbound) off to Cedric St,Mitchell Fwy (Northbound) off to Cedric St,S,60km/h,State Road
201,2040089,Thomas St,Thomas St,S,110km/h or 50km/h built up areas,Local Road
202,1040006,Kenwick Rd,Kenwick Rd,S,60km/h,Local Road
203,1090938,Swan St East,Swan St East,S,110km/h or 50km/h built up areas,Local Road
204,1300285,Green St,Green St,S,110km/h or 50km/h built up areas,Local Road
211,H803,Burns Beach Rd on to Mitchell Fwy (Southbound),Burns Beach Rd on to Mitchell Fwy (Southbound),S,70km/h,State Road
214,1311665,Joondalup Dr,Joondalup Dr,L,70km/h,Local Road
216,1260062,Onslow St,Onslow St,S,110km/h or 50km/h built up areas,Local Road
217,1040002,Nicholson Rd,Nicholson Rd,S,70km/h,Local Road
219,1030503,Berrigan Dr,Berrigan Dr,L,70km/h,Local Road
220,1240022,Lake St,Lake St,S,40km/h,Local Road
221,1130018,Alexander Rd,Alexander Rd,S,110km/h or 50km/h built up areas,Local Road
223,1071410,Goddard St,Goddard St,S,60km/h,Local Road
224,2180040,Parsons Swamp Rd,Parsons Swamp Rd,S,110km/h or 50km/h built up areas,Local Road
225,1251727,Yirrigan Dr,Yirrigan Dr,L,110km/h or 50km/h built up areas,Local Road
226,1103098,Hester Av,Hester Av,L,70km/h,Local Road
228,1010556,Carawatha Av,Carawatha Av,S,110km/h or 50km/h built up areas,Local Road
230,1010001,Nicholson Rd,Nicholson Rd,R,70km/h,Local Road
231,1240110,Adelaide Tce,Adelaide Tce,L,110km/h or 50km/h built up areas,Local Road
232,1270119,Station St,Station St,S,110km/h or 50km/h built up areas,Local Road
234,1220282,Caladenia Pde,Caladenia Pde,S,110km/h or 50km/h built up areas,Local Road
235,1091927,Bennett Springs Dr,Bennett Springs Dr,S,110km/h or 50km/h built up areas,Local Road
237,H053,Williams Narrogin Hwy,Kipling St,S,50km/h,State Road
246,2060126,Minninup Rd,Minninup Rd,S,70km/h,Local Road
247,1020044,Aldersyde Rd,Aldersyde Rd,S,60km/h,Local Road
248,8140675,Bayview Rd,Bayview Rd,S,70km/h,Local Road
249,6051002,Piccadilly St,Piccadilly St,S,60km/h,Local Road
250,2120428,Hungerford Av,Hungerford Av,S,110km/h or 50km/h built up areas,Local Road
251,8130061,Pinga St,Pinga St,S,70km/h,Local Road
253,1091805,Kyeema Wy,Kyeema Wy,S,110km/h or 50km/h built up areas,Local Road
254,1250119,Sackville Tce,Sackville Tce,S,60km/h,Local Road
257,6054045,Hamilton St South,Hamilton St South,S,50km/h,Local Road
258,H659,Hodges Dr on to Mitchell Fwy (Southbound),Hodges Dr on to Mitchell Fwy (Southbound),S,70km/h,State Road
259,1312143,Beach Rd,Beach Rd,S,70km/h,Local Road
260,1250059,Alexander Dr,Alexander Dr,L,60km/h,Local Road
261,3170086,Oxley Rd,Oxley Rd,S,110km/h,Local Road
262,1091173,Lloyd St,Lloyd St,S,60km/h,Local Road
264,1030498,Rockingham Rd,Rockingham Rd,S,60km/h,Local Road
265,1310624,Warburton Av,Warburton Av,S,110km/h or 50km/h built up areas,Local Road
266,H052,Brookton Hwy,Kondinin Hyden Rd,S,110km/h or 50km/h built up areas,State Road
268,1080093,Keirnan St,Keirnan St,S,60km/h,Local Road
270,1020066,Zig Zag Scenic Dr,Zig Zag Scenic Dr,S,40km/h,Local Road
271,217Z033,Grimwade Wilga Rd,Grimwade Wilga Rd,S,110km/h or 50km/h built up areas,Local Road
273,1090229,Lilydale Rd,Lilydale Rd,S,80km/h,Local Road
275,2060024,Hasties Rd,Hasties Rd,S,60km/h,Local Road
276,H045,Coalfields Hwy,Coalfields Rd,S,100km/h,State Road
277,1240023,Fitzgerald St,Fitzgerald St,S,110km/h or 50km/h built up areas,Local Road
278,2070011,Mungalup Rd,Mungalup Rd,S,110km/h or 50km/h built up areas,Local Road
279,M045,Indian Ocean Dr,Indian Ocean Dr,S,100km/h,State Road
280,1251187,Lynn St,Lynn St,S,110km/h or 50km/h built up areas,Local Road
281,1071067,Grand Ocean Bvd,Grand Ocean Bvd,S,110km/h or 50km/h built up areas,Local Road
282,6053065,Brookman St,Brookman St,S,60km/h,Local Road
283,1250362,Kinsella St,Kinsella St,S,110km/h or 50km/h built up areas,Local Road
285,1020033,Holmes Rd,Holmes Rd,S,110km/h or 50km/h built up areas,Local Road
286,1270001,Hay St,Hay St,L,110km/h or 50km/h built up areas,Local Road
288,113Z049,Airport Dr,Airport Dr,S,70km/h,State Road
290,0010006,Sanctuary Rd,Sanctuary Rd,S,110km/h or 50km/h built up areas,Local Road
291,1250454,Lockwood St,Lockwood St,S,110km/h or 50km/h built up areas,Local Road
292,1270012,Bagot Rd,Bagot Rd,S,110km/h or 50km/h built up areas,Local Road
293,1240116,Wellington St,Wellington St,L,40km/h,Local Road
294,2060022,Fowler Rd,Fowler Rd,S,110km/h or 50km/h built up areas,Local Road
295,1030136,Dubove Rd,Dubove Rd,S,110km/h or 50km/h built up areas,Local Road
296,5040006,Badgingarra Rd,Badgingarra Rd,S,110km/h or 50km/h built up areas,Local Road
297,1020017,Gooseberry Hill Rd,Gooseberry Hill Rd,S,60km/h,Local Road
300,5070375,Old Mooliabeenee Rd,Old Mooliabeenee Rd,S,70km/h,Local Road
302,2040408,Davenport Wy,Davenport Wy,S,110km/h or 50km/h built up areas,Local Road
305,1104716,Kingsbridge Bvd,Kingsbridge Bvd,L,110km/h or 50km/h built up areas,Local Road
306,1260014,Coode St,Coode St,S,110km/h or 50km/h built up areas,Local Road
308,1090049,Neaves Rd,Neaves Rd,S,110km/h,Local Road
309,2051104,Bussell Hwy,Bussell Hwy,R,70km/h,Local Road
310,1280234,Herdsman Pde,Herdsman Pde,S,60km/h,Local Road
311,1140022,Lawson St,Lawson St,L,60km/h,Local Road
312,1150004,Victoria Av,Victoria Av,S,110km/h or 50km/h built up areas,Local Road
314,1120026,Russell St,Russell St,S,110km/h or 50km/h built up areas,Local Road
315,1300104,Newcastle St,Newcastle St,S,110km/h or 50km/h built up areas,Local Road
320,1180014,Queen St,Queen St,S,40km/h,Local Road
323,1120002,Beaufort St,Beaufort St,S,60km/h,Local Road
324,3020607,Lower Denmark Rd,Lower Denmark Rd,S,110km/h,Local Road
325,1280306,Selby St,Selby St,L,60km/h,Local Road
326,1051057,Tiverton Rd,Tiverton Rd,S,110km/h or 50km/h built up areas,Local Road
327,1062064,Summit Rd,Summit Rd,S,110km/h or 50km/h built up areas,Local Road
330,1190045,Aurelian St,Aurelian St,S,110km/h or 50km/h built up areas,Local Road
334,1150091,Mengler Av,Mengler Av,S,110km/h or 50km/h built up areas,Local Road
340,1270123,Bedford Av,Bedford Av,S,110km/h or 50km/h built up areas,Local Road
342,1270005,Roberts Rd,Roberts Rd,S,60km/h,Local Road
343,1250001,Beach Rd,Beach Rd,S,70km/h,Local Road
345,1220020,Monash Av,Monash Av,S,110km/h or 50km/h built up areas,Local Road
352,1140579,Burrendah Bvd,Burrendah Bvd,L,60km/h,Local Road
354,H010,Coolgardie Esperance Hwy,Coolgardie Esperance Hwy,S,110km/h,State Road
357,1101654,Alexander Dr,Alexander Dr,L,110km/h or 50km/h built up areas,Local Road
358,H006,Great Northern Hwy,Great Northern Hwy,S,80km/h,State Road
362,1270085,Roydhouse St,Roydhouse St,S,110km/h or 50km/h built up areas,Local Road
363,1070003,Safety Bay Rd,Safety Bay Rd,L,80km/h,Local Road
364,2110207,Paris Rd,Paris Rd,S,60km/h,Local Road
366,1240112,Murray St,Murray St,S,110km/h or 50km/h built up areas,Local Road
367,3040523,Wingebellup Rd,Wingebellup Rd,S,110km/h or 50km/h built up areas,Local Road
369,5080004,Milo Rd,Milo Rd,S,110km/h or 50km/h built up areas,Local Road
370,1220028,Dalkeith Rd,Dalkeith Rd,S,110km/h or 50km/h built up areas,Local Road
372,1290252,Albany Hwy,Albany Hwy,S,40km/h,Local Road
373,113Z023,Snook Rd (Federal),Snook Rd (Federal),S,110km/h or 50km/h built up areas,Local Road
374,1280308,Grantham St,Grantham St,S,60km/h,Local Road
379,1250222,Second Av,Second Av,S,110km/h or 50km/h built up areas,Local Road
381,1040026,Ranford Rd,Ranford Rd,L,70km/h,Local Road
382,1290094,McMaster St,McMaster St,S,110km/h or 50km/h built up areas,Local Road
383,H043,Bussell Hwy,Bussell Hwy,L,110km/h or 50km/h built up areas,Local Road
384,1010869,Champion Dr,Champion Dr,S,60km/h,Local Road
385,1130008,Grandstand Rd,Grandstand Rd,L,60km/h,Local Road
386,2121548,Marco Polo Dr,Marco Polo Dr,S,110km/h or 50km/h built up areas,Local Road
388,1040090,Garden St,Garden St,R,70km/h,Local Road
391,1250057,Dundas Rd,Dundas Rd,S,110km/h or 50km/h built up areas,Local Road
395,1150012,Davies Rd,Davies Rd,S,110km/h or 50km/h built up areas,Local Road
396,1250129,Mirrabooka Av,Mirrabooka Av,L,110km/h or 50km/h built up areas,Local Road
399,8140200,Sharpe Av,Sharpe Av,S,40km/h,Local Road
400,H057,Forrest Hwy,Forrest Hwy,L,60km/h,State Road
401,1240124,Terrace Rd,Terrace Rd,S,110km/h or 50km/h built up areas,Local Road
402,1130028,Belvidere St,Belvidere St,S,110km/h or 50km/h built up areas,Local Road
403,1010020,Prospect Rd,Prospect Rd,S,40km/h,Local Road
405,1300278,William St,William St,S,40km/h,Local Road
407,1191041,Curran Pl,Curran Pl,S,110km/h or 50km/h built up areas,Local Road
408,1300277,Beaufort St,Beaufort St,S,40km/h,Local Road
409,1140170,Gerard St,Gerard St,S,110km/h or 50km/h built up areas,Local Road
411,1120020,Beechboro Rd South,Beechboro Rd South,S,60km/h,Local Road
412,1020042,Crystal Brook Rd,Crystal Brook Rd,S,60km/h,Local Road
413,1270011,Hamersley Rd,Hamersley Rd,S,110km/h or 50km/h built up areas,Local Road
418,1250128,Nollamara Av,Nollamara Av,S,60km/h,Local Road
421,1130002,Abernethy Rd,Abernethy Rd,L,110km/h or 50km/h built up areas,Local Road
422,1310609,Eddystone Av,Eddystone Av,S,110km/h or 50km/h built up areas,Local Road
424,1031007,Wentworth Pde,Wentworth Pde,R,60km/h,Local Road
425,1120003,Walter Rd West,Walter Rd West,L,110km/h or 50km/h built up areas,Local Road
426,2121183,Shepherd Rd,Shepherd Rd,S,110km/h or 50km/h built up areas,Local Road
427,1252484,Marchese Pass,Marchese Pass,S,110km/h or 50km/h built up areas,Local Road
431,M043,Caves,Caves Rd,S,80km/h,State Road
433,1130009,Belgravia St,Belgravia St,S,110km/h or 50km/h built up areas,Local Road
434,5050248,Assen St,Assen St,S,50km/h,Local Road
435,1240026,Francis St,Francis St,S,40km/h,Local Road
436,1252019,Regal Cl,Regal Cl,S,110km/h or 50km/h built up areas,Local Road
440,1110035,Maidos St,Maidos St,S,110km/h or 50km/h built up areas,Local Road
441,1072143,Minden L,Minden L,S,40km/h,Local Road
442,2120353,Lakes Rd,Lakes Rd,L,110km/h or 50km/h built up areas,Local Road
443,2070058,Baird St,Baird St,S,110km/h or 50km/h built up areas,Local Road
444,1180090,Scott St,Scott St,S,40km/h,Local Road
445,1140042,Walpole St,Walpole St,S,110km/h or 50km/h built up areas,Local Road
447,1102143,Beach Rd,Beach Rd,S,110km/h or 50km/h built up areas,Local Road
448,1050542,Price Pwy,Price Pwy,S,110km/h or 50km/h built up areas,Local Road
450,1070797,Bristol St,Bristol St,S,110km/h or 50km/h built up areas,Local Road
452,1090549,Gnangara Rd,Gnangara Rd,L,70km/h,Local Road
454,2130274,Brockman St,Brockman St,S,110km/h or 50km/h built up areas,Local Road
456,1250102,Liege St,Liege St,L,110km/h or 50km/h built up areas,Local Road
457,1250051,Carrington St,Carrington St,S,110km/h or 50km/h built up areas,Local Road
459,1280294,Southport St,Southport St,S,60km/h,Local Road
460,1250465,Golf View St,Golf View St,S,110km/h or 50km/h built up areas,Local Road
467,1141005,Cecil Av,Cecil Av,S,110km/h or 50km/h built up areas,Local Road
468,1070490,Louise St,Louise St,S,60km/h,Local Road
471,1020001,Kalamunda Rd,Kalamunda Rd,S,110km/h or 50km/h built up areas,Local Road
472,1020656,Jubilee Rd,Jubilee Rd,S,110km/h or 50km/h built up areas,Local Road
473,1180063,York St,York St,S,110km/h or 50km/h built up areas,Local Road
476,1093462,Dunnett Dr,Dunnett Dr,S,110km/h or 50km/h built up areas,Local Road
479,1110010,Broadway,Broadway,S,110km/h or 50km/h built up areas,Local Road
482,1120006,Broun Av,Broun Av,L,60km/h,Local Road
483,H804,Mitchell Fwy (Northbound) off to Burns Beach Rd,Mitchell Fwy (Northbound) off to Burns Beach Rd,S,70km/h,State Road
488,1250092,King Edward Rd,King Edward Rd,S,110km/h or 50km/h built up areas,Local Road
499,1092147,The Broadway,The Broadway,S,60km/h,Local Road
501,1100168,Mirrabooka Av,Mirrabooka Av,L,60km/h,Local Road
502,1141132,Carden Dr,Carden Dr,S,110km/h or 50km/h built up areas,Local Road
503,1070004,Dixon Rd,Dixon Rd,S,60km/h,Local Road
505,1090571,Morley Dr East,Morley Dr East,S,60km/h,Local Road
506,1140034,Renou St,Renou St,S,110km/h or 50km/h built up areas,Local Road
507,H008,South Coast Hwy,Chester Pass Rd,S,80km/h,Local Road
508,1240080,Havelock St,Havelock St,S,110km/h or 50km/h built up areas,Local Road
509,1251836,Hasler Rd,Hasler Rd,S,110km/h or 50km/h built up areas,Local Road
513,1072625,Cooralya Av,Cooralya Av,S,110km/h or 50km/h built up areas,Local Road
514,1270014,Salvado Rd,Salvado Rd,S,110km/h or 50km/h built up areas,Local Road
515,1311141,Dampier Av,Dampier Av,S,110km/h or 50km/h built up areas,Local Road
516,1260022,Angelo St,Angelo St,S,110km/h or 50km/h built up areas,Local Road
522,1250018,Green St,Green St,S,60km/h,Local Road
523,1070049,Frederick St,Frederick St,S,110km/h or 50km/h built up areas,Local Road
525,1030011,Russell Rd,Russell Rd,L,70km/h,Local Road
529,M023,Pinjarra,Pinjarra Rd,L,80km/h,State Road
530,1110012,Hardy Rd,Hardy Rd,S,110km/h or 50km/h built up areas,Local Road
531,1010061,Churchman Brook Rd,Churchman Brook Rd,S,70km/h,Local Road
532,2090006,Nanga Brook Rd,Nanga Brook Rd,S,90km/h,Local Road
533,0040102,Barringtonia Av,Barringtonia Av,S,50km/h,Local Road
536,1240043,Beaufort St,Beaufort St,S,110km/h or 50km/h built up areas,Local Road
537,1180137,Fifth Av,Fifth Av,S,110km/h or 50km/h built up areas,Local Road
538,2010122,Boodjidup Rd,Boodjidup Rd,S,80km/h,Local Road
542,1102331,The Avenue,The Avenue,S,110km/h or 50km/h built up areas,Local Road
543,1190039,Adrian St,Adrian St,S,110km/h or 50km/h built up areas,Local Road
544,1280192,Cromarty Rd,Cromarty Rd,S,110km/h or 50km/h built up areas,Local Road
547,1252466,Ellen Stirling Bvd,Ellen Stirling Bvd,L,110km/h or 50km/h built up areas,Local Road
548,1290098,Geddes St,Geddes St,S,110km/h or 50km/h built up areas,Local Road
549,1040046,Canning Mills Rd,Canning Mills Rd,S,70km/h,Local Road
550,1080009,Kargotich Rd,Kargotich Rd,S,100km/h,Local Road
551,1090081,Ellenbrook Rd,Ellenbrook Rd,S,110km/h or 50km/h built up areas,Local Road
553,1250135,Arkana Rd,Arkana Rd,S,110km/h or 50km/h built up areas,Local Road
557,1091951,Albatross Loop,Albatross Loop,S,110km/h or 50km/h built up areas,Local Road
563,1100254,Caporn St,Caporn St,S,70km/h,Local Road
565,1280307,Harborne St,Harborne St,S,60km/h,Local Road
566,1311039,Angove Dr,Angove Dr,S,110km/h or 50km/h built up areas,Local Road
567,5050008,Chapman Rd,Chapman Rd,S,50km/h,Local Road
568,1190679,Gilbertson Rd,Gilbertson Rd,S,110km/h or 50km/h built up areas,Local Road
569,1300022,Flinders St,Flinders St,S,110km/h or 50km/h built up areas,Local Road
571,1091232,Clayton St,Clayton St,S,60km/h,Local Road
572,2120006,Estuary Rd,Estuary Rd,S,60km/h,Local Road
575,1312212,Mandarin Ct,Mandarin Ct,S,110km/h or 50km/h built up areas,Local Road
577,M074,Lakelands Lake Clifton,Dawesville Bypa,L,110km/h or 50km/h built up areas,Local Road
579,M008,Vasse,Vasse Hwy,S,110km/h,State Road
581,H541,Powis St on to Mitchell Fwy (Southbound),Powis St on to Mitchell Fwy (Southbound),S,60km/h,State Road
582,1140061,Vahland Av,Vahland Av,L,70km/h,Local Road
584,1040716,Burslem Dr,Burslem Dr,L,60km/h,Local Road
590,1140459,Bannister Rd,Bannister Rd,L,70km/h,Local Road
